State,Number of CoCs,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered SH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered SH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Sheltered SH Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered SH Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year
LA,9,4081,1306,1545,39,2890,1191,3217,929,1085,39,2053,1164,864,377,460,837,27,285,130,146,276,9,9,735,246,9,255,480,392,350,42,2015
MA,16,21135,17444,3052,46,20542,593,6378,3996,1772,46,5814,564,14757,13448,1280,14728,29,4903,4389,503,4892,11,35,1411,1135,35,1170,241,1133,1101,32,2015
MD,16,8390,3953,2543,98,6594,1796,5383,2572,1317,98,3987,1396,3007,1381,1226,2607,400,970,438,409,847,123,76,1634,847,76,923,711,714,586,128,2015
ME,2,2372,1085,1215,13,2313,59,1219,716,441,13,1170,49,1153,369,774,1143,10,358,119,236,355,3,1,193,178,1,179,14,151,142,9,2015
MI,21,10516,5393,3996,55,9444,1072,6546,3593,1905,55,5553,993,3970,1800,2091,3891,79,1285,573,688,1261,24,8,830,511,8,519,311,1067,991,76,2015
MN,10,7546,3764,2941,0,6705,841,3622,2101,886,0,2987,635,3924,1663,2055,3718,206,1192,521,600,1121,71,0,1124,833,0,833,291,297,253,44,2015
MO,8,6482,3379,1973,59,5411,1071,3434,1786,795,59,2640,794,3048,1593,1178,2771,277,926,507,338,845,81,52,875,484,52,536,339,540,430,110,2015
MS,3,1983,523,618,0,1141,842,1475,369,324,0,693,782,508,154,294,448,60,152,54,84,138,14,0,233,67,0,67,166,206,87,119,2015
MT,1,1709,535,302,0,837,872,1127,346,132,0,478,649,582,189,170,359,223,182,63,57,120,62,0,154,23,0,23,131,277,98,179,2015
NC,12,10685,5672,2588,0,8260,2425,7156,3934,1438,0,5372,1784,3529,1738,1150,2888,641,1110,565,356,921,189,0,1253,605,0,605,648,1092,904,188,2015
ND,1,1305,640,179,0,819,486,864,467,124,0,591,273,441,173,55,228,213,123,51,20,71,52,0,70,52,0,52,18,137,90,47,2015
NE,3,2744,1493,1128,0,2621,123,1720,1012,585,0,1597,123,1024,481,543,1024,0,327,152,175,327,0,0,257,201,0,201,56,247,231,16,2015
NH,3,1445,770,535,8,1313,132,778,480,178,8,666,112,667,290,357,647,20,244,101,137,238,6,8,257,197,8,205,52,138,124,14,2015
NJ,16,10098,6877,2225,22,9124,974,6189,3993,1278,22,5293,896,3909,2884,947,3831,78,1346,987,340,1327,19,6,1182,746,6,752,430,696,616,80,2015
NM,2,2629,1387,788,0,2175,454,1666,970,267,0,1237,429,963,417,521,938,25,296,128,162,290,6,0,621,360,0,360,261,278,214,64,2015
NV,3,8743,3251,1262,15,4528,4215,7858,2537,1094,15,3646,4212,885,714,168,882,3,279,218,60,278,1,4,585,104,4,108,477,860,516,344,2015
NY,27,88250,75646,8400,182,84228,4022,36135,26729,5261,182,32172,3963,52115,48917,3139,52056,59,15361,14169,1175,15344,17,169,4327,1813,169,1982,2345,2399,2268,131,2015
OH,9,11182,6942,3056,85,10083,1099,7565,4628,1877,85,6590,975,3617,2314,1179,3493,124,1108,669,404,1073,35,40,1160,742,40,782,378,1183,1073,110,2015
OK,8,3777,2309,665,25,2999,778,2781,1714,372,25,2111,670,996,595,293,888,108,343,201,104,305,38,22,508,267,22,289,219,351,253,98,2015
OR,7,13226,3214,2608,9,5831,7395,9461,2424,1615,9,4048,5413,3765,790,993,1783,1982,1179,259,327,586,593,9,3521,912,9,921,2600,1464,769,695,2015
PA,16,15421,7576,6155,262,13993,1428,8605,4596,2418,262,7276,1329,6816,2980,3737,6717,99,2299,1016,1253,2269,30,194,1442,715,194,909,533,1375,1295,80,2015
RI,1,1111,743,332,0,1075,36,706,530,143,0,673,33,405,213,189,402,3,112,59,52,111,1,0,110,100,0,100,10,107,105,2,2015
SC,4,5354,1639,1807,12,3458,1896,3934,1217,1236,12,2465,1469,1420,422,571,993,427,510,136,196,332,178,12,916,444,12,456,460,681,470,211,2015
SD,1,1036,642,258,0,900,136,630,412,94,0,506,124,406,230,164,394,12,125,71,51,122,3,0,85,59,0,59,26,177,170,7,2015
TN,10,9123,3540,2324,15,5879,3244,6516,2651,1409,15,4075,2441,2607,889,915,1804,803,869,295,283,578,291,7,1492,641,7,648,844,945,756,189,2015
TX,11,23678,10244,5829,119,16192,7486,16265,7050,2065,119,9234,7031,7413,3194,3764,6958,455,2316,986,1173,2159,157,92,3778,1451,92,1543,2235,2393,1490,903,2015
UT,3,3025,1912,865,22,2799,226,1809,1232,351,22,1605,204,1216,680,514,1194,22,364,208,149,357,7,2,178,163,2,165,13,337,313,24,2015
VA,16,7001,4453,1688,49,6190,811,4190,2884,501,49,3434,756,2811,1569,1187,2756,55,890,506,368,874,16,20,1041,682,20,702,339,604,513,91,2015
VT,2,1523,1082,287,4,1373,150,910,623,148,4,775,135,613,459,139,598,15,201,151,46,197,4,0,139,84,0,84,55,119,113,6,2015
WA,7,19419,6624,5630,44,12298,7121,12526,4375,1781,44,6200,6326,6893,2249,3849,6098,795,2154,674,1262,1936,218,28,2261,880,28,908,1353,1293,886,407,2015
WI,4,6057,3112,2443,60,5615,442,2992,1765,822,60,2647,345,3065,1347,1621,2968,97,954,422,501,923,31,28,361,249,28,277,84,534,515,19,2015
WV,4,1835,1020,370,13,1403,432,1414,811,225,13,1049,365,421,209,145,354,67,129,62,46,108,21,5,352,187,5,192,160,305,227,78,2015
WY,1,798,231,276,0,507,291,500,187,105,0,292,208,298,44,171,215,83,93,16,55,71,22,0,86,35,0,35,51,112,83,29,2015
Total,406,564708,259297,130282,1861,391440,173268,358422,139970,63785,1861,205616,152806,206286,119327,66497,185824,20462,64197,36752,21312,58064,6133,1152,83170,27203,1152,28355,54815,47725,31505,16220,2015
AK,2,1940,1007,491,0,1498,442,1527,777,312,0,1089,438,413,230,179,409,4,135,76,58,134,1,0,112,84,0,84,28,168,112,56,2016
AL,8,4111,1601,1258,34,2893,1218,3019,1147,836,34,2017,1002,1092,454,422,876,216,356,139,154,293,63,2,390,161,2,163,227,373,321,52,2016
AR,7,2463,1092,514,10,1616,847,1838,769,361,10,1140,698,625,323,153,476,149,191,107,40,147,44,0,417,163,0,163,254,222,159,63,2016
AZ,3,9707,3701,2722,40,6463,3244,6659,2411,1113,40,3564,3095,3048,1290,1609,2899,149,917,400,477,877,40,19,1327,404,19,423,904,1036,663,373,2016
CA,43,118142,21766,17860,126,39752,78390,97660,14154,9440,126,23720,73940,20482,7612,8420,16032,4450,6764,2463,2712,5175,1589,66,29802,3844,66,3910,25892,9612,4012,5600,2016
CO,3,10550,4467,3098,46,7611,2939,6450,3227,1079,46,4352,2098,4100,1240,2019,3259,841,1200,346,613,959,241,46,1642,837,46,883,759,1181,906,275,2016
CT,2,3902,2370,859,0,3229,673,2570,1494,409,0,1903,667,1332,876,450,1326,6,449,290,157,447,2,0,439,254,0,254,185,216,173,43,2016
DE,1,1070,621,398,0,1019,51,753,454,248,0,702,51,317,167,150,317,0,108,53,55,108,0,0,65,63,0,63,2,107,103,4,2016
FL,27,33559,10526,7542,130,18198,15361,24201,6838,4673,130,11641,12560,9358,3688,2869,6557,2801,3031,1222,880,2102,929,71,5415,1148,71,1219,4196,2902,1825,1077,2016
GA,9,12909,3963,3580,0,7543,5366,9265,2721,2064,0,4785,4480,3644,1242,1516,2758,886,1145,426,494,920,225,0,1658,415,0,415,1243,1055,581,474,2016
HI,2,7921,1226,2361,26,3613,4308,4590,647,609,26,1282,3308,3331,579,1752,2331,1000,805,153,416,569,236,17,1659,103,17,120,1539,670,264,406,2016
IA,3,3064,1332,1589,0,2921,143,1543,918,482,0,1400,143,1521,414,1107,1521,0,466,123,343,466,0,0,159,112,0,112,47,170,154,16,2016
ID,2,2247,832,677,0,1509,738,1284,562,324,0,886,398,963,270,353,623,340,291,85,112,197,94,0,227,99,0,99,128,267,202,65,2016
IL,20,11590,4183,5459,94,9736,1854,6986,3231,1901,94,5226,1760,4604,952,3558,4510,94,1461,316,1115,1431,30,29,937,533,29,562,375,949,713,236,2016
IN,3,5798,3164,1909,34,5107,691,3824,2092,1032,34,3158,666,1974,1072,877,1949,25,609,338,266,604,5,9,534,310,9,319,215,663,614,49,2016
KS,5,2255,1080,881,12,1973,282,1228,677,267,12,956,272,1027,403,614,1017,10,343,123,217,340,3,0,233,129,0,129,104,169,138,31,2016
KY,3,4237,2112,1419,0,3531,706,2949,1514,886,0,2400,549,1288,598,533,1131,157,410,187,178,365,45,0,353,218,0,218,135,512,452,60,2016
LA,9,3994,1444,1366,43,2853,1141,3176,1105,921,43,2069,1107,818,339,445,784,34,243,109,122,231,12,6,570,161,6,167,403,400,363,37,2016
MA,16,19608,15714,3093,41,18848,760,6434,3838,1811,41,5690,744,13174,11876,1282,13158,16,4381,3916,458,4374,7,36,1272,987,36,1023,249,949,915,34,2016
MD,16,7689,3647,2436,78,6161,1528,4983,2417,1256,78,3751,1232,2706,1230,1180,2410,296,866,388,389,777,89,47,1277,735,47,782,495,555,436,119,2016
ME,2,2241,1060,1049,12,2121,120,1321,677,526,12,1215,106,920,383,523,906,14,297,116,176,292,5,5,199,151,5,156,43,146,125,21,2016
MI,21,9316,5394,2905,57,8356,960,5803,3436,1480,57,4973,830,3513,1958,1425,3383,130,1109,616,457,1073,36,20,719,505,20,525,194,822,758,64,2016
MN,10,7341,3700,2752,0,6452,889,3669,2158,744,0,2902,767,3672,1542,2008,3550,122,1065,486,548,1034,31,0,715,570,0,570,145,279,248,31,2016
MO,8,6194,3050,1890,38,4978,1216,3810,1874,918,38,2830,980,2384,1176,972,2148,236,767,379,324,703,64,38,891,527,38,565,326,575,494,81,2016
MS,3,1738,524,365,0,889,849,1299,373,183,0,556,743,439,151,182,333,106,133,49,52,101,32,0,180,28,0,28,152,144,58,86,2016
MT,1,1418,481,307,0,788,630,844,296,147,0,443,401,574,185,160,345,229,172,61,52,113,59,0,117,21,0,21,96,165,92,73,2016
NC,12,9559,5215,2035,0,7250,2309,6396,3480,1202,0,4682,1714,3163,1735,833,2568,595,1041,573,272,845,196,0,999,527,0,527,472,888,730,158,2016
ND,1,923,535,172,0,707,216,662,444,65,0,509,153,261,91,107,198,63,70,27,31,58,12,0,89,41,0,41,48,116,63,53,2016
NE,3,2754,1484,1169,0,2653,101,1880,1085,694,0,1779,101,874,399,475,874,0,280,127,153,280,0,0,200,163,0,163,37,219,211,8,2016
NH,3,1366,653,562,8,1223,143,827,429,258,8,695,132,539,224,304,528,11,185,83,98,181,4,2,227,162,2,164,63,123,119,4,2016
NJ,15,8895,5514,1927,20,7461,1434,5540,3173,994,20,4187,1353,3355,2341,933,3274,81,1123,767,331,1098,25,0,704,291,0,291,413,556,485,71,2016
NM,2,2263,1241,568,0,1809,454,1556,904,223,0,1127,429,707,337,345,682,25,229,117,106,223,6,0,603,342,0,342,261,214,150,64,2016
NV,3,7398,2328,1118,25,3471,3927,6853,1999,913,25,2937,3916,545,329,205,534,11,180,106,70,176,4,9,330,36,9,45,285,851,437,414,2016
NY,26,86352,75595,7003,163,82761,3591,35315,27242,4388,163,31793,3522,51037,48353,2615,50968,69,15499,14534,940,15474,25,14,4112,2049,14,2063,2049,1248,1156,92,2016
OH,9,10404,6530,2647,89,9266,1138,6946,4221,1580,89,5890,1056,3458,2309,1067,3376,82,1079,719,342,1061,18,38,733,365,38,403,330,930,845,85,2016
OK,8,4107,2425,638,24,3087,1020,2997,1731,365,24,2120,877,1110,694,273,967,143,360,217,96,313,47,15,610,314,15,329,281,358,260,98,2016
OR,7,13238,3138,2090,8,5236,8002,9379,2325,1325,8,3658,5721,3859,813,765,1578,2281,1315,265,241,506,809,8,3077,498,8,506,2571,1341,603,738,2016
PA,16,15339,7784,5689,191,13664,1675,8599,4634,2255,191,7080,1519,6740,3150,3434,6584,156,2200,989,1163,2152,48,141,1209,532,141,673,536,1136,1088,48,2016
RI,1,1160,822,301,0,1123,37,859,682,140,0,822,37,301,140,161,301,0,93,41,52,93,0,0,136,133,0,133,3,89,89,0,2016
SC,4,5051,1832,1517,12,3361,1690,3758,1359,969,12,2340,1418,1293,473,548,1021,272,409,153,176,329,80,12,913,383,12,395,518,738,452,286,2016
SD,1,1072,616,271,0,887,185,548,326,120,0,446,102,524,290,151,441,83,170,85,58,143,27,0,34,30,0,30,4,120,109,11,2016
TN,10,8779,3729,2037,7,5773,3006,6652,2838,1357,7,4202,2450,2127,891,680,1571,556,710,302,232,534,176,7,1640,606,7,613,1027,831,654,177,2016
TX,11,23122,10448,5669,97,16214,6908,15959,7076,2142,97,9315,6644,7163,3372,3527,6899,264,2297,1062,1154,2216,81,68,3534,1432,68,1500,2034,1768,1285,483,2016
UT,3,2807,1984,587,0,2571,236,1828,1290,322,0,1612,216,979,694,265,959,20,298,210,81,291,7,0,168,158,0,158,10,335,311,24,2016
VA,16,6268,3900,1559,43,5502,766,3959,2698,504,43,3245,714,2309,1202,1055,2257,52,737,394,326,720,17,25,750,500,25,525,225,515,439,76,2016
VT,2,1117,660,297,4,961,156,655,377,135,4,516,139,462,283,162,445,17,158,95,57,152,6,0,120,74,0,74,46,110,97,13,2016
WA,7,20827,6752,5567,42,12361,8466,13900,4659,1688,42,6389,7511,6927,2093,3879,5972,955,2185,659,1219,1878,307,24,2307,801,24,825,1482,1484,999,485,2016
WI,4,5685,3044,2167,64,5275,410,2886,1682,749,64,2495,391,2799,1362,1418,2780,19,862,414,442,856,6,27,276,182,27,209,67,415,392,23,2016
WV,4,1387,963,278,11,1252,135,1039,724,169,11,904,135,348,239,109,348,0,113,79,34,113,0,0,161,113,0,113,48,143,126,17,2016
WY,1,857,297,194,0,491,366,517,184,93,0,277,240,340,113,101,214,126,110,40,37,77,33,0,80,29,0,29,51,87,56,31,2016
Total,402,549928,254306,117579,1686,373571,176357,355212,138311,58011,1686,198008,157204,194716,115995,59568,175563,19153,61265,36203,19062,55265,6000,855,77486,23741,855,24596,52890,39471,26404,13067,2016
AK,2,1845,1017,534,0,1551,294,1354,792,268,0,1060,294,491,225,266,491,0,165,80,85,165,0,0,216,117,0,117,99,124,95,29,2017
AL,8,3793,1644,978,34,2656,1137,2985,1163,753,34,1950,1035,808,481,225,706,102,262,153,76,229,33,4,344,148,4,152,192,269,202,67,2017
AR,6,2467,915,358,0,1273,1194,2068,677,260,0,937,1131,399,238,98,336,63,121,63,37,100,21,0,450,138,0,138,312,239,130,109,2017
AZ,3,8947,3841,1904,36,5781,3166,6488,2541,846,36,3423,3065,2459,1300,1058,2358,101,689,357,307,664,25,17,1463,475,17,492,971,970,641,329,2017
CA,43,131532,26854,15656,126,42636,88896,110260,16157,8739,126,25022,85238,21272,10697,6917,17614,3658,7083,3484,2352,5836,1247,57,35541,4373,57,4430,31111,11436,3815,7621,2017
CO,3,10940,4135,2921,25,7081,3859,7571,3398,1296,25,4719,2852,3369,737,1625,2362,1007,993,228,474,702,291,25,2126,889,25,914,1212,1078,743,335,2017
CT,2,3388,2249,723,0,2972,416,2208,1451,345,0,1796,412,1180,798,378,1176,4,392,264,127,391,1,0,387,240,0,240,147,191,177,14,2017
DE,1,994,564,372,0,936,58,615,355,208,0,563,52,379,209,164,373,6,129,67,60,127,2,0,123,98,0,98,25,91,85,6,2017
FL,27,32190,10732,6266,113,17111,15079,22768,6617,4201,113,10931,11837,9422,4115,2065,6180,3242,2846,1264,660,1924,922,66,4951,1061,66,1127,3824,2817,1821,996,2017
GA,9,10174,3821,2830,0,6651,3523,7422,2298,1804,0,4102,3320,2752,1523,1026,2549,203,1019,605,334,939,80,0,963,405,0,405,558,712,466,246,2017
HI,2,7220,1341,2054,25,3420,3800,4535,746,487,25,1258,3277,2685,595,1567,2162,523,666,159,380,539,127,12,1588,152,12,164,1424,615,237,378,2017
IA,3,2756,1373,1279,0,2652,104,1500,957,439,0,1396,104,1256,416,840,1256,0,382,129,253,382,0,0,170,114,0,114,56,171,153,18,2017
ID,2,2037,1003,395,0,1398,639,1309,673,184,0,857,452,728,330,211,541,187,211,103,64,167,44,0,391,257,0,257,134,228,159,69,2017
IL,20,10798,4160,4306,75,8541,2257,6894,3067,1617,75,4759,2135,3904,1093,2689,3782,122,1228,353,828,1181,47,52,1355,592,52,644,711,864,575,289,2017
IN,2,5438,3368,1457,44,4869,569,3623,2232,806,44,3082,541,1815,1136,651,1787,28,576,363,204,567,9,22,486,410,22,432,54,615,569,46,2017
KS,5,2287,1277,659,6,1942,345,1423,830,247,6,1083,340,864,447,412,859,5,263,140,122,262,1,0,252,166,0,166,86,217,177,40,2017
KY,3,4025,2174,1122,2,3298,727,3032,1607,777,2,2386,646,993,567,345,912,81,334,191,118,309,25,2,383,250,2,252,131,489,445,44,2017
LA,8,3305,1326,967,37,2330,975,2559,891,719,37,1647,912,746,435,248,683,63,231,128,83,211,20,20,609,154,20,174,435,383,329,54,2017
MA,15,17565,14301,2196,77,16574,991,6267,3850,1361,77,5288,979,11298,10451,835,11286,12,3430,3123,303,3426,4,35,1238,850,35,885,353,853,808,45,2017
MD,16,7247,3557,1877,77,5511,1736,5077,2337,1095,77,3509,1568,2170,1220,782,2002,168,681,379,256,635,46,43,1436,703,43,746,690,536,440,96,2017
ME,1,2280,993,1092,15,2100,180,1352,681,548,15,1244,108,928,312,544,856,72,307,109,177,286,21,12,189,177,12,189,0,131,120,11,2017
MI,21,9051,5656,2326,46,8028,1023,5628,3554,1115,46,4715,913,3423,2102,1211,3313,110,1060,651,375,1026,34,18,709,464,18,482,227,773,713,60,2017
MN,10,7668,3620,2940,0,6560,1108,3899,2013,879,0,2892,1007,3769,1607,2061,3668,101,1140,501,609,1110,30,0,813,472,0,472,341,281,244,37,2017
MO,8,6037,3133,1719,33,4885,1152,3768,1865,872,33,2770,998,2269,1268,847,2115,154,749,418,287,705,44,30,883,495,30,525,358,538,449,89,2017
MS,3,1472,421,332,0,753,719,1100,239,213,0,452,648,372,182,119,301,71,111,55,35,90,21,0,61,13,0,13,48,57,39,18,2017
MT,1,1529,748,237,0,985,544,987,517,116,0,633,354,542,231,121,352,190,169,75,42,117,52,0,182,73,0,73,109,205,125,80,2017
NC,12,8962,4893,1618,0,6511,2451,6044,3155,974,0,4129,1915,2918,1738,644,2382,536,911,554,194,748,163,0,994,359,0,359,635,931,732,199,2017
ND,1,1089,584,174,0,758,331,832,533,117,0,650,182,257,51,57,108,149,77,15,21,36,41,0,37,25,0,25,12,74,58,16,2017
NE,3,2501,1608,773,0,2381,120,1698,1163,415,0,1578,120,803,445,358,803,0,266,141,125,266,0,0,361,285,0,285,76,174,172,2,2017
NH,3,1456,764,509,9,1282,174,776,475,154,9,638,138,680,289,355,644,36,238,96,125,221,17,5,100,33,5,38,62,124,113,11,2017
NJ,16,8536,5264,1836,22,7122,1414,5433,3043,973,22,4038,1395,3103,2221,863,3084,19,1018,717,294,1011,7,10,955,532,10,542,413,583,494,89,2017
NM,2,2482,1254,432,0,1686,796,1865,929,218,0,1147,718,617,325,214,539,78,191,98,66,164,27,0,712,385,0,385,327,248,135,113,2017
NV,3,7833,2270,965,20,3255,4578,7281,1890,811,20,2721,4560,552,380,154,534,18,186,129,50,179,7,12,502,109,12,121,381,832,492,340,2017
NY,26,89503,79149,5724,75,84948,4555,37390,28643,4172,75,32890,4500,52113,50506,1552,52058,55,16297,15753,528,16281,16,54,5087,3056,54,3110,1977,1244,1186,58,2017
OH,9,10095,6759,1967,60,8786,1309,6688,4385,1049,60,5494,1194,3407,2374,918,3292,115,1025,687,304,991,34,40,725,356,40,396,329,862,785,77,2017
OK,8,4199,2385,677,22,3084,1115,2824,1596,374,22,1992,832,1375,789,303,1092,283,480,260,109,369,111,15,578,280,15,295,283,349,235,114,2017
OR,7,13953,3767,2212,7,5986,7967,10434,2883,1403,7,4293,6141,3519,884,809,1693,1826,1083,281,259,540,543,7,3120,761,7,768,2352,1251,583,668,2017
PA,16,14138,7524,4646,170,12340,1798,8271,4433,1926,170,6529,1742,5867,3091,2720,5811,56,1946,1007,923,1930,16,135,1372,633,135,768,604,963,875,88,2017
RI,1,1180,807,304,0,1111,69,802,620,113,0,733,69,378,187,191,378,0,106,54,52,106,0,0,240,215,0,215,25,95,92,3,2017
SC,4,3916,1619,783,13,2415,1501,2896,1221,433,13,1667,1229,1020,398,350,748,272,325,137,117,254,71,11,792,215,11,226,566,480,321,159,2017
SD,1,943,590,182,0,772,171,611,343,109,0,452,159,332,247,73,320,12,124,98,23,121,3,0,101,81,0,81,20,130,123,7,2017
TN,10,8309,3896,1642,6,5544,2765,6137,2701,1176,6,3883,2254,2172,1195,466,1661,511,655,341,153,494,161,6,1295,476,6,482,813,757,615,142,2017
TX,11,23548,10545,4439,71,15055,8493,16708,6880,1763,71,8714,7994,6840,3665,2676,6341,499,2168,1115,871,1986,182,48,3497,1271,48,1319,2178,2200,1379,821,2017
UT,3,2852,2165,409,0,2574,278,1882,1343,261,0,1604,278,970,822,148,970,0,281,237,44,281,0,0,163,119,0,119,44,220,203,17,2017
VA,16,6067,3861,1146,52,5059,1008,4028,2543,454,52,3049,979,2039,1318,692,2010,29,631,414,206,620,11,32,864,469,32,501,363,478,384,94,2017
VT,2,1225,843,245,3,1091,134,697,448,149,3,600,97,528,395,96,491,37,179,136,34,170,9,2,111,80,2,82,29,94,89,5,2017
WA,7,21112,7448,5030,43,12521,8591,14781,4956,1734,43,6733,8048,6331,2492,3296,5788,543,1993,750,1073,1823,170,37,4357,1253,37,1290,3067,2093,1094,999,2017
WI,4,5027,3062,1543,82,4687,340,2645,1730,505,82,2317,328,2382,1332,1038,2370,12,743,397,342,739,4,42,342,233,42,275,67,329,309,20,2017
WV,4,1309,920,190,11,1121,188,1032,726,123,11,860,172,277,194,67,261,16,95,68,23,91,4,1,188,130,1,131,57,137,124,13,2017
WY,1,873,321,189,0,510,363,622,293,90,0,383,239,251,28,99,127,124,96,12,43,55,41,0,14,14,0,14,0,63,50,13,2017
Total,399,550996,262430,96974,1463,360867,190129,366585,140843,50838,1463,193144,173441,184411,121587,46136,167723,16688,57886,37951,14878,52829,5057,898,86705,25731,898,26629,60076,40020,24690,15330,2017
AK,2,2016,1248,459,0,1707,309,1434,953,220,0,1173,261,582,295,239,534,48,193,100,75,175,18,0,323,243,0,243,80,132,110,22,2018
AL,8,3434,1519,865,40,2424,1010,2570,1057,596,40,1693,877,864,462,269,731,133,280,153,90,243,37,13,472,264,13,277,195,339,267,72,2018
AR,7,2712,933,516,6,1455,1257,2280,708,367,6,1081,1199,432,225,149,374,58,147,76,51,127,20,4,453,149,4,153,300,251,150,101,2018
AZ,3,9865,3615,2144,40,5799,4066,7259,2327,987,40,3354,3905,2606,1288,1157,2445,161,792,390,355,745,47,13,1740,551,13,564,1176,893,540,353,2018
CA,43,129972,27475,12737,217,40429,89543,109008,16507,6911,217,23635,85373,20964,10968,5826,16794,4170,6702,3464,1908,5372,1330,101,32668,4756,101,4857,27811,10836,3622,7214,2018
CO,3,10857,4158,2348,22,6528,4329,7607,3317,963,22,4302,3305,3250,841,1385,2226,1024,990,258,431,689,301,22,2571,1077,22,1099,1472,1073,657,416,2018
CT,2,3976,2879,516,0,3395,581,2280,1451,248,0,1699,581,1696,1428,268,1696,0,553,464,89,553,0,0,298,195,0,195,103,190,177,13,2018
