State,Number of CoCs,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered SH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered SH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Sheltered SH Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered SH Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year
DE,1,1082,702,282,5,989,93,708,460,150,5,615,93,374,242,132,374,0,125,83,42,125,0,0,162,143,0,143,19,70,67,3,2018
FL,27,31030,12089,5419,129,17637,13393,21443,7031,3526,129,10686,10757,9587,5058,1893,6951,2636,2757,1501,569,2070,687,44,4543,1193,44,1237,3306,2543,1582,961,2018
GA,9,9499,3434,2466,0,5900,3599,6943,2002,1555,0,3557,3386,2556,1432,911,2343,213,812,460,265,725,87,0,992,238,0,238,754,705,429,276,2018
HI,2,6530,1528,1527,0,3055,3475,4131,832,383,0,1215,2916,2399,696,1144,1840,559,623,195,280,475,148,0,1529,202,0,202,1327,532,240,292,2018
IA,3,2749,1481,1004,23,2508,241,1711,1035,433,23,1491,220,1038,446,571,1017,21,325,141,179,320,5,2,215,149,2,151,64,196,177,19,2018
ID,2,2012,954,335,0,1289,723,1297,647,125,0,772,525,715,307,210,517,198,209,94,64,158,51,0,293,138,0,138,155,215,146,69,2018
IL,20,10643,6247,2381,73,8701,1942,6752,3746,1057,73,4876,1876,3891,2501,1324,3825,66,1223,743,460,1203,20,57,1470,721,57,778,692,804,574,230,2018
IN,2,5258,3370,1218,91,4679,579,3776,2376,738,91,3205,571,1482,994,480,1474,8,481,325,153,478,3,48,428,333,48,381,47,539,491,48,2018
KS,5,2216,1300,555,4,1859,357,1443,880,213,4,1097,346,773,420,342,762,11,217,122,93,215,2,3,278,166,3,169,109,195,167,28,2018
KY,3,3688,2340,480,0,2820,868,2735,1650,306,0,1956,779,953,690,174,864,89,286,208,54,262,24,0,349,262,0,262,87,369,308,61,2018
LA,7,3059,1163,795,36,1994,1065,2540,839,627,36,1502,1038,519,324,168,492,27,164,105,51,156,8,14,467,133,14,147,320,406,362,44,2018
MA,15,20068,16855,2148,80,19083,985,6811,4394,1354,80,5828,983,13257,12461,794,13255,2,4149,3861,287,4148,1,33,1373,1021,33,1054,319,985,934,51,2018
MD,16,7144,3603,1700,77,5380,1764,4914,2298,1007,77,3382,1532,2230,1305,693,1998,232,699,415,225,640,59,43,1259,565,43,608,651,574,470,104,2018
ME,1,2516,1012,1391,15,2418,98,1450,644,700,15,1359,91,1066,368,691,1059,7,341,114,225,339,2,10,198,187,10,197,1,119,106,13,2018
MI,21,8351,5499,1881,72,7452,899,5209,3426,892,72,4390,819,3142,2073,989,3062,80,965,623,315,938,27,8,756,575,8,583,173,693,646,47,2018
MN,10,7243,3855,2251,16,6122,1121,3993,2168,835,16,3019,974,3250,1687,1416,3103,147,979,466,469,935,44,11,970,620,11,631,339,301,250,51,2018
MO,8,5883,3262,1369,38,4669,1214,3776,1920,676,38,2634,1142,2107,1342,693,2035,72,706,438,246,684,22,38,819,416,38,454,365,507,415,92,2018
MS,3,1352,404,327,0,731,621,1024,261,200,0,461,563,328,143,127,270,58,112,50,45,95,17,0,255,40,0,40,215,102,37,65,2018
MT,1,1405,793,239,0,1032,373,983,541,141,0,682,301,422,252,98,350,72,134,78,34,112,22,0,183,97,0,97,86,198,125,73,2018
NC,12,9268,5289,1529,0,6818,2450,6451,3577,944,0,4521,1930,2817,1712,585,2297,520,897,546,179,725,172,0,1175,674,0,674,501,884,735,149,2018
ND,1,542,339,155,0,494,48,467,306,113,0,419,48,75,33,42,75,0,27,13,14,27,0,0,69,69,0,69,0,9,9,0,2018
NE,3,2421,1736,541,0,2277,144,1745,1272,336,0,1608,137,676,464,205,669,7,236,158,76,234,2,0,380,325,0,325,55,171,168,3,2018
NH,3,1450,812,476,8,1296,154,835,543,142,8,693,142,615,269,334,603,12,215,93,117,210,5,0,141,85,0,85,56,143,136,7,2018
NJ,16,9398,5805,1951,19,7775,1623,6048,3436,1015,19,4470,1578,3350,2369,936,3305,45,1093,769,311,1080,13,14,1212,450,14,464,748,555,470,85,2018
NM,2,2551,1368,387,0,1755,796,1949,1021,210,0,1231,718,602,347,177,524,78,201,120,54,174,27,0,814,487,0,487,327,290,177,113,2018
NV,3,7544,2183,921,201,3305,4239,7058,1821,851,201,2873,4185,486,362,70,432,54,167,125,26,151,16,57,637,207,57,264,373,723,530,193,2018
NY,26,91897,82370,5137,96,87603,4294,39827,31571,3895,96,35562,4265,52070,50799,1242,52041,29,16368,15934,422,16356,12,48,5829,4158,48,4206,1623,1224,1184,40,2018
OH,9,10249,7234,1608,92,8934,1315,6929,4770,871,92,5733,1196,3320,2464,737,3201,119,1015,737,243,980,35,32,700,363,32,395,305,749,694,55,2018
OK,8,3871,2077,586,17,2680,1191,2823,1510,321,17,1848,975,1048,567,265,832,216,327,177,80,257,70,16,804,241,16,257,547,313,206,107,2018
OR,7,14476,3757,1786,8,5551,8925,11139,2822,1197,8,4027,7112,3337,935,589,1524,1813,1108,298,204,502,606,6,4013,856,6,862,3151,1363,600,763,2018
PA,16,13512,7863,3625,280,11768,1744,8163,4539,1630,280,6449,1714,5349,3324,1995,5319,30,1760,1079,672,1751,9,211,1318,574,211,785,533,982,910,72,2018
RI,1,1101,739,311,0,1050,51,747,557,141,0,698,49,354,182,170,352,2,121,65,55,120,1,0,233,216,0,216,17,103,100,3,2018
SC,4,3933,1997,577,15,2589,1344,3082,1572,381,15,1968,1114,851,425,196,621,230,273,135,65,200,73,11,671,333,11,344,327,415,320,95,2018
SD,1,1159,707,167,0,874,285,836,476,122,0,598,238,323,231,45,276,47,105,77,14,91,14,0,115,67,0,67,48,110,89,21,2018
TN,10,7883,3547,1470,11,5028,2855,6139,2792,1050,11,3853,2286,1744,755,420,1175,569,526,228,138,366,160,8,1556,551,8,559,997,742,556,186,2018
TX,11,25310,11307,3405,64,14776,10534,19199,7299,1554,64,8917,10282,6111,4008,1851,5859,252,1917,1263,582,1845,72,38,3269,1341,38,1379,1890,1935,1142,793,2018
UT,3,2876,1946,510,0,2456,420,1904,1224,262,0,1486,418,972,722,248,970,2,287,213,73,286,1,0,298,211,0,211,87,239,222,17,2018
VA,16,5975,4232,810,18,5060,915,3928,2784,264,18,3066,862,2047,1448,546,1994,53,660,472,171,643,17,14,812,523,14,537,275,485,400,85,2018
VT,2,1291,1029,180,0,1209,82,780,581,130,0,711,69,511,448,50,498,13,169,148,17,165,4,0,138,120,0,120,18,104,96,8,2018
WA,6,22304,7652,3990,41,11683,10621,16424,5103,1375,41,6519,9905,5880,2549,2615,5164,716,1800,762,821,1583,217,37,5775,1582,37,1619,4156,1636,770,866,2018
WI,4,4907,3139,1319,67,4525,382,2740,1897,419,67,2383,357,2167,1242,900,2142,25,660,371,280,651,9,33,446,335,33,368,78,332,321,11,2018
WV,4,1243,870,180,10,1060,183,1021,697,135,10,842,179,222,173,45,218,4,73,57,15,72,1,1,150,83,1,84,66,131,106,25,2018
WY,1,639,269,171,0,440,199,434,221,78,0,299,135,205,48,93,141,64,77,21,35,56,21,0,42,42,0,42,0,47,47,0,2018
Total,398,552830,275705,80711,1947,358363,194467,372417,148764,43629,1947,194340,178077,180413,126941,37082,164023,16390,56342,39588,11925,51513,4829,1005,88640,29749,1005,30754,57886,37878,23312,14566,2018
AK,2,1907,1218,416,0,1634,273,1384,938,180,0,1118,266,523,280,236,516,7,161,89,69,158,3,0,231,134,0,134,97,111,85,26,2019
AL,8,3261,1503,538,29,2070,1191,2519,1063,337,29,1429,1090,742,440,201,641,101,236,149,58,207,29,13,350,208,13,221,129,292,223,69,2019
AR,5,2717,950,352,0,1302,1415,2303,738,234,0,972,1331,414,212,118,330,84,132,63,37,100,32,0,676,223,0,223,453,238,153,85,2019
AZ,3,10007,3437,1978,60,5475,4532,7538,2109,930,60,3099,4439,2469,1328,1048,2376,93,745,402,321,723,22,17,1766,582,17,599,1167,910,598,312,2019
CA,44,151278,30723,11853,270,42846,108432,128777,18606,6447,270,25323,103454,22501,12117,5406,17523,4978,7044,3751,1763,5514,1530,127,39275,6356,127,6483,32792,10980,3261,7719,2019
CO,3,9619,4818,2578,35,7431,2188,7263,4098,1095,35,5228,2035,2356,720,1483,2203,153,719,215,459,674,45,28,2106,1183,28,1211,895,1068,792,276,2019
CT,2,3033,2116,456,5,2577,456,2100,1383,260,5,1648,452,933,733,196,929,4,305,232,71,303,2,0,202,129,0,129,73,195,182,13,2019
DE,1,921,606,220,0,826,95,565,376,113,0,489,76,356,230,107,337,19,116,73,38,111,5,0,119,86,0,86,33,65,61,4,2019
FL,27,28328,10465,5213,174,15852,12476,21265,6353,3426,174,9953,11312,7063,4112,1787,5899,1164,2171,1245,556,1801,370,82,5181,1374,82,1456,3725,2472,1576,896,2019
GA,9,10443,4463,2100,0,6563,3880,7913,2809,1360,0,4169,3744,2530,1654,740,2394,136,815,521,245,766,49,0,1081,429,0,429,652,801,448,353,2019
HI,2,6412,1587,1185,0,2772,3640,4420,849,385,0,1234,3186,1992,738,800,1538,454,539,189,236,425,114,0,1592,226,0,226,1366,505,210,295,2019
IA,3,2315,1374,729,24,2127,188,1574,978,391,24,1393,181,741,396,338,734,7,227,119,105,224,3,2,301,237,2,239,62,149,137,12,2019
ID,2,2315,999,331,0,1330,985,1516,703,128,0,831,685,799,296,203,499,300,243,95,66,161,82,0,356,186,0,186,170,201,129,72,2019
IL,19,10199,5892,2347,71,8310,1889,6513,3699,949,71,4719,1794,3686,2193,1398,3591,95,1105,631,449,1080,25,54,1533,1018,54,1072,461,690,536,154,2019
IN,2,5471,3598,1188,43,4829,642,3783,2430,697,43,3170,613,1688,1168,491,1659,29,544,362,174,536,8,17,314,247,17,264,50,572,529,43,2019
KS,5,2381,1377,529,0,1906,475,1742,1008,276,0,1284,458,639,369,253,622,17,209,115,90,205,4,0,337,154,0,154,183,189,155,34,2019
KY,3,4079,2778,522,0,3300,779,3073,1981,371,0,2352,721,1006,797,151,948,58,313,247,47,294,19,0,479,399,0,399,80,447,412,35,2019
LA,7,2941,1300,629,38,1967,974,2416,974,449,38,1461,955,525,326,180,506,19,170,111,55,166,4,9,431,165,9,174,257,360,317,43,2019
MA,15,18471,15631,1942,69,17642,829,6259,4203,1167,69,5439,820,12212,11428,775,12203,9,3766,3505,257,3762,4,28,1392,1119,28,1147,245,917,884,33,2019
MD,16,6561,3643,1503,67,5213,1348,4652,2493,877,67,3437,1215,1909,1150,626,1776,133,603,362,202,564,39,30,1164,587,30,617,547,490,411,79,2019
ME,1,2106,1105,891,15,2011,95,1232,671,454,15,1140,92,874,434,437,871,3,283,132,150,282,1,11,211,167,11,178,33,116,108,8,2019
MI,21,8575,6040,1810,63,7913,662,5212,3777,776,63,4616,596,3363,2263,1034,3297,66,1022,680,320,1000,22,11,839,678,11,689,150,599,574,25,2019
MN,10,7977,4277,2031,16,6324,1653,4586,2357,764,16,3137,1449,3391,1920,1267,3187,204,1028,571,397,968,60,10,1444,849,10,859,585,297,234,63,2019
MO,8,6179,3847,1318,38,5203,976,4173,2555,695,38,3288,885,2006,1292,623,1915,91,707,434,241,675,32,30,912,568,30,598,314,488,393,95,2019
MS,3,1184,415,283,0,698,486,963,292,187,0,479,484,221,123,96,219,2,69,38,30,68,1,0,216,64,0,64,152,72,49,23,2019
MT,1,1357,755,257,0,1012,345,947,492,164,0,656,291,410,263,93,356,54,136,87,31,118,18,0,194,106,0,106,88,205,136,69,2019
NC,12,9314,5495,1551,0,7046,2268,6867,3906,983,0,4889,1978,2447,1589,568,2157,290,767,509,173,682,85,0,1173,647,0,647,526,907,763,144,2019
ND,1,557,391,124,30,545,12,377,295,49,30,374,3,180,96,75,171,9,51,29,19,48,3,9,73,64,9,73,0,49,49,0,2019
NE,3,2365,1534,698,23,2255,110,1715,1225,360,23,1608,107,650,309,338,647,3,201,94,106,200,1,6,422,375,6,381,41,175,164,11,2019
NH,3,1396,822,420,5,1247,149,812,507,155,5,667,145,584,315,265,580,4,206,110,94,204,2,3,188,123,3,126,62,113,106,7,2019
NJ,16,8862,5534,1827,19,7380,1482,5895,3419,1000,19,4438,1457,2967,2115,827,2942,25,993,710,274,984,9,8,1311,616,8,624,687,551,485,66,2019
NM,2,3241,1616,366,0,1982,1259,2464,1147,127,0,1274,1190,777,469,239,708,69,246,151,77,228,18,0,1283,631,0,631,652,257,119,138,2019
NV,3,7169,2408,935,19,3362,3807,6614,1999,839,19,2857,3757,555,409,96,505,50,183,139,30,169,14,15,679,501,15,516,163,674,509,165,2019
NY,27,92091,82967,4978,99,88044,4047,42113,34187,3788,99,38074,4039,49978,48780,1190,49970,8,15901,15500,399,15899,2,33,5965,4334,33,4367,1598,1270,1247,23,2019
OH,9,10345,7382,1344,112,8838,1507,7041,4838,702,112,5652,1389,3304,2544,642,3186,118,999,762,204,966,33,38,807,458,38,496,311,676,610,66,2019
OK,8,3944,2176,523,8,2707,1237,3063,1668,281,8,1957,1106,881,508,242,750,131,300,168,85,253,47,8,882,294,8,302,580,280,203,77,2019
OR,7,15876,3748,1979,7,5734,10142,12354,2874,1313,7,4194,8160,3522,874,666,1540,1982,1147,284,223,507,640,6,4609,931,6,937,3672,1438,611,827,2019
PA,16,13199,8053,3221,295,11569,1630,8426,4964,1565,295,6824,1602,4773,3089,1656,4745,28,1569,992,570,1562,7,208,1775,928,208,1136,639,857,820,37,2019
RI,1,1055,743,241,0,984,71,730,544,119,0,663,67,325,199,122,321,4,111,63,47,110,1,0,176,165,0,165,11,92,89,3,2019
SC,4,4172,1820,620,15,2455,1717,3318,1457,403,15,1875,1443,854,363,217,580,274,275,118,71,189,86,11,897,330,11,341,556,462,343,119,2019
SD,1,995,681,80,0,761,234,725,438,66,0,504,221,270,243,14,257,13,76,68,4,72,4,0,81,39,0,39,42,66,55,11,2019
TN,10,7467,3240,1618,11,4869,2598,5637,2549,959,11,3519,2118,1830,691,659,1350,480,558,199,192,391,167,10,1020,491,10,501,519,679,539,140,2019
TX,11,25848,10950,3555,121,14626,11222,19611,6900,1642,121,8663,10948,6237,4050,1913,5963,274,1919,1253,591,1844,75,57,3338,1419,57,1476,1862,1806,1225,581,2019
UT,3,2798,1971,419,0,2390,408,1921,1334,182,0,1516,405,877,637,237,874,3,260,188,71,259,1,0,493,345,0,345,148,211,184,27,2019
VA,16,5783,4179,711,34,4924,859,3666,2608,196,34,2838,828,2117,1571,515,2086,31,652,488,155,643,9,16,817,564,16,580,237,447,355,92,2019
VT,2,1089,841,134,0,975,114,681,468,101,0,569,112,408,373,33,406,2,128,115,12,127,1,0,163,132,0,132,31,87,78,9,2019
WA,6,21577,8378,3599,43,12020,9557,15985,5705,1347,43,7095,8890,5592,2673,2252,4925,667,1751,847,703,1550,201,40,4446,1757,40,1797,2649,1585,818,767,2019
WI,4,4538,3067,1123,53,4243,295,2545,1770,440,53,2263,282,1993,1297,683,1980,13,592,382,207,589,3,17,426,315,17,332,94,359,334,25,2019
WV,4,1397,1023,118,8,1149,248,1149,839,72,8,919,230,248,184,46,230,18,79,59,15,74,5,2,152,98,2,100,52,137,113,24,2019
WY,1,548,264,159,0,423,125,437,239,90,0,329,108,111,25,69,94,17,37,6,25,31,6,0,64,23,0,23,41,51,43,8,2019
Total,397,567715,279327,75162,1933,356422,211293,396045,156673,40925,1933,199531,196514,171670,122654,34237,156891,14779,53692,38318,11026,49344,4348,969,96141,34231,969,35200,60941,37085,22740,14345,2019
AK,2,1949,1347,378,0,1725,224,1445,1037,187,0,1224,221,504,310,191,501,3,160,107,52,159,1,0,327,241,0,241,86,94,82,12,2020
AL,8,3351,1421,603,28,2052,1299,2497,1000,265,28,1293,1204,854,421,338,759,95,267,138,100,238,29,10,483,241,10,251,232,329,231,98,2020
AR,4,2366,912,181,0,1093,1273,2073,723,147,0,870,1203,293,189,34,223,70,101,63,12,75,26,0,486,105,0,105,381,188,107,81,2020
AZ,3,10979,3483,1914,61,5458,5521,8280,1988,953,61,3002,5278,2699,1495,961,2456,243,809,447,296,743,66,13,1959,501,13,514,1445,921,579,342,2020
CA,44,161548,35966,11707,215,47888,113660,135771,21255,6776,215,28246,107525,25777,14711,4931,19642,6135,8030,4643,1609,6252,1778,97,48812,7939,97,8036,40776,11401,3405,7996,2020
CO,4,9846,4553,2330,50,6933,2913,7579,3774,1006,50,4830,2749,2267,779,1324,2103,164,665,225,391,616,49,32,2834,1215,32,1247,1587,1044,696,348,2020
CT,2,2905,2141,430,9,2580,325,1973,1365,276,9,1650,323,932,776,154,930,2,306,253,52,305,1,0,171,121,0,121,50,199,187,12,2020
DE,1,1165,739,276,0,1015,150,737,469,132,0,601,136,428,270,144,414,14,136,85,47,132,4,0,215,167,0,167,48,78,71,7,2020
FL,27,27487,9899,4739,177,14815,12672,20344,5628,3077,177,8882,11462,7143,4271,1662,5933,1210,2294,1370,562,1932,362,85,4650,1370,85,1455,3195,2436,1470,966,2020
GA,9,10234,3736,2342,0,6078,4156,7696,2294,1391,0,3685,4011,2538,1442,951,2393,145,864,502,310,812,52,0,1305,422,0,422,883,764,376,388,2020
HI,2,6458,1696,1067,45,2808,3650,4568,1009,291,45,1345,3223,1890,687,776,1463,427,499,185,195,380,119,10,1527,332,10,342,1185,485,244,241,2020
IA,3,2647,1606,685,23,2314,333,1852,1189,311,23,1523,329,795,417,374,791,4,245,128,115,243,2,5,335,252,5,257,78,154,136,18,2020
ID,2,2315,992,280,0,1272,1043,1320,641,118,0,759,561,995,351,162,513,482,276,108,52,160,116,0,269,102,0,102,167,178,112,66,2020
IL,19,10431,5846,2239,68,8153,2278,6995,3750,1004,68,4822,2173,3436,2096,1235,3331,105,1063,610,419,1029,34,45,2058,987,45,1032,1026,736,504,232,2020
IN,2,5625,3496,1095,68,4659,966,4117,2441,672,68,3181,936,1508,1055,423,1478,30,482,340,133,473,9,26,370,280,26,306,64,530,460,70,2020
KS,5,2449,1307,660,0,1967,482,1751,938,397,0,1335,416,698,369,263,632,66,223,125,82,207,16,0,360,168,0,168,192,203,174,29,2020
KY,3,4011,2589,494,0,3083,928,3116,1888,345,0,2233,883,895,701,149,850,45,277,215,49,264,13,0,629,439,0,439,190,399,359,40,2020
LA,7,3173,1355,591,74,2020,1153,2591,935,436,74,1445,1146,582,420,155,575,7,182,131,50,181,1,24,405,148,24,172,233,378,336,42,2020
MA,13,17975,14823,1798,60,16681,1294,6233,3790,1110,60,4960,1273,11742,11033,688,11721,21,3714,3452,256,3708,6,36,1459,1068,36,1104,355,836,807,29,2020
MD,16,6360,3731,1346,47,5124,1236,4430,2463,840,47,3350,1080,1930,1268,506,1774,156,616,396,174,570,46,24,1203,693,24,717,486,464,392,72,2020
ME,1,2097,1000,941,15,1956,141,1289,583,555,15,1153,136,808,417,386,803,5,260,128,131,259,1,11,228,173,11,184,44,103,93,10,2020
MI,20,8638,5743,1791,65,7599,1039,5267,3533,761,65,4359,908,3371,2210,1030,3240,131,1026,656,333,989,37,9,947,667,9,676,271,639,594,45,2020
MN,10,7940,4036,1955,0,5991,1949,4726,2279,742,0,3021,1705,3214,1757,1213,2970,244,967,508,385,893,74,0,1504,746,0,746,758,315,268,47,2020
MO,8,6527,3466,1389,24,4879,1648,4416,2066,820,24,2910,1506,2111,1400,569,1969,142,704,445,224,669,35,24,909,469,24,493,416,453,366,87,2020
MS,3,1107,332,249,0,581,526,853,213,118,0,331,522,254,119,131,250,4,76,42,33,75,1,0,139,35,0,35,104,68,37,31,2020
MT,1,1545,767,318,0,1085,460,996,476,138,0,614,382,549,291,180,471,78,167,88,57,145,22,0,204,50,0,50,154,165,104,61,2020
NC,12,9280,5112,1610,0,6722,2558,6756,3447,965,0,4412,2344,2524,1665,645,2310,214,809,526,211,737,72,0,1174,652,0,652,522,798,669,129,2020
ND,1,541,369,119,19,507,34,371,268,50,19,337,34,170,101,69,170,0,54,30,24,54,0,4,87,68,4,72,15,49,45,4,2020
NE,3,2404,1658,574,29,2261,143,1722,1207,352,29,1588,134,682,451,222,673,9,202,133,67,200,2,5,406,338,5,343,63,153,146,7,2020
NH,3,1675,929,395,3,1327,348,1023,575,125,3,703,320,652,354,270,624,28,219,113,96,209,10,0,352,178,0,178,174,116,101,15,2020
NJ,16,9662,6030,1841,10,7881,1781,6413,3606,1076,10,4692,1721,3249,2424,765,3189,60,1081,795,262,1057,24,5,1603,700,5,705,898,595,511,84,2020
NM,2,3333,1703,371,0,2074,1259,2555,1243,122,0,1365,1190,778,460,249,709,69,294,203,73,276,18,0,1296,644,0,644,652,252,114,138,2020
NV,3,6900,1873,811,7,2691,4209,6381,1466,740,7,2213,4168,519,407,71,478,41,159,124,23,147,12,5,1331,385,5,390,941,924,522,402,2020
NY,24,91271,81342,5297,75,86714,4557,43283,34472,4185,75,38732,4551,47988,46870,1112,47982,6,15151,14785,364,15149,2,13,6427,4819,13,4832,1595,1251,1214,37,2020
OH,9,10655,7276,1454,81,8811,1844,7636,4925,820,81,5826,1810,3019,2351,634,2985,34,906,697,199,896,10,30,700,403,30,433,267,730,698,32,2020
OK,8,3932,2107,555,26,2688,1244,3162,1650,328,26,2004,1158,770,457,227,684,86,255,146,77,223,32,17,1083,408,17,425,658,325,202,123,2020
OR,8,14655,3874,1898,6,5778,8877,11995,3022,1495,6,4523,7472,2660,852,403,1255,1405,825,256,144,400,425,6,4123,933,6,939,3184,1329,654,675,2020
PA,16,13375,8244,2958,316,11518,1857,8585,5057,1448,316,6821,1764,4790,3187,1510,4697,93,1550,1011,514,1525,25,216,1689,1009,216,1225,464,977,920,57,2020
RI,1,1104,742,254,0,996,108,723,521,94,0,615,108,381,221,160,381,0,121,68,53,121,0,0,196,171,0,171,25,92,84,8,2020
SC,4,4287,1827,741,15,2583,1704,3432,1441,519,15,1975,1457,855,386,222,608,247,279,128,82,210,69,9,819,353,9,362,457,428,317,111,2020
SD,1,1058,751,61,0,812,246,743,459,54,0,513,230,315,292,7,299,16,93,87,2,89,4,0,119,79,0,79,40,43,37,6,2020
TN,10,7256,3241,1226,5,4472,2784,5673,2569,786,5,3360,2313,1583,672,440,1112,471,508,208,127,335,173,1,1092,420,1,421,671,570,424,146,2020
TX,11,27229,10727,3141,149,14017,13212,21115,6655,1605,149,8409,12706,6114,4072,1536,5608,506,1912,1288,495,1783,129,71,3862,1086,71,1157,2705,1948,1117,831,2020
UT,3,3131,2034,393,0,2427,704,2150,1349,117,0,1466,684,981,685,276,961,20,290,202,81,283,7,0,643,386,0,386,257,114,98,16,2020
VA,16,5957,4269,668,52,4989,968,3959,2782,185,52,3019,940,1998,1487,483,1970,28,621,460,153,613,8,6,775,531,6,537,238,395,323,72,2020
VT,2,1110,896,100,0,996,114,738,552,79,0,631,107,372,344,21,365,7,124,114,8,122,2,0,165,132,0,132,33,71,67,4,2020
WA,6,22923,8533,3495,81,12109,10814,16198,6028,1159,81,7268,8930,6725,2505,2336,4841,1884,2116,781,767,1548,568,67,5943,2010,67,2077,3866,1607,866,741,2020
WI,4,4515,3247,893,51,4191,324,2677,1992,330,51,2373,304,1838,1255,563,1818,20,558,389,163,552,6,15,484,389,15,404,80,337,320,17,2020
WV,4,1341,930,128,6,1064,277,1156,792,81,6,879,277,185,138,47,185,0,58,44,14,58,0,0,157,94,0,94,63,104,88,16,2020
WY,1,612,349,140,0,489,123,427,233,77,0,310,117,185,116,63,179,6,50,26,22,48,2,0,81,24,0,24,57,51,45,6,2020
Total,392,580466,279916,72484,1986,354386,226080,408891,156847,40645,1986,199478,209413,171575,123069,31839,154908,16667,53739,38616,10356,48972,4767,934,110528,36177,934,37111,73417,37252,22048,15204,2020
